epoch,loss,loss1,loss2,loss3,out1_acc,out2_acc,out3_acc,val_loss,val_loss1,val_loss2,val_loss3,val_out1_acc,val_out2_acc,val_out3_acc
0,1.151944875717163,0.004428363870829344,0.8523285984992981,0.29518765211105347,0.9986249804496765,0.7501875162124634,0.9984999895095825,1.1413220167160034,0.2372453212738037,0.6048739552497864,0.299203097820282,0.9485143423080444,0.8140369057655334,0.9549180269241333
1,0.5233461260795593,0.003602756420150399,0.3650665581226349,0.15467706322669983,0.9989374876022339,0.8886562585830688,0.9989062547683716,0.9139582514762878,0.2268909364938736,0.4508747160434723,0.23619240522384644,0.9500512480735779,0.8637295365333557,0.9574795365333557
2,0.3706165552139282,0.00206682994030416,0.25530046224594116,0.11324921250343323,0.9993749856948853,0.9213749766349792,0.9994687438011169,0.8545111417770386,0.23680825531482697,0.4005219638347626,0.21718087792396545,0.9500512480735779,0.8801229596138,0.959272563457489
3,0.310718834400177,0.003198596416041255,0.21202392876148224,0.09549647569656372,0.9989062547683716,0.9351249933242798,0.999343752861023,0.8016027212142944,0.22744683921337128,0.372393399477005,0.2017621546983719,0.9536373019218445,0.8852459192276001,0.9610655903816223
4,0.2382061630487442,0.0007514239405281842,0.16140136122703552,0.07605338841676712,0.9998124837875366,0.9511250257492065,0.9998437762260437,0.7519805431365967,0.23321741819381714,0.33344823122024536,0.18531501293182373,0.953125,0.8988217115402222,0.96234631538391115,0.15119481086730957,0.0004618081438820809,0.09799124300479889,0.052741777151823044,0.9998437762260437,0.9743750095367432,0.9999062418937683,0.7112290859222412,0.23321741819381714,0.3029009699821472,0.17511071264743805,0.953125,0.9095799326896667,0.9618340134620667
6,0.14367710053920746,0.00027691031573340297,0.09279873222112656,0.05060139298439026,0.9999374747276306,0.9760624766349792,1.0,0.7046986222267151,0.23321741819381714,0.29797881841659546,0.17350240051746368,0.953125,0.9100922346115112,0.9615778923034668
7,0.14231091737747192,0.0004094605683349073,0.09183385223150253,0.05006757378578186,0.9998437762260437,0.9778437614440918,0.9999374747276306,0.7012372612953186,0.23321741819381714,0.29531607031822205,0.17270371317863464,0.953125,0.9111167788505554,0.9618340134620667
8,0.13522113859653473,0.0003660907386802137,0.0863896831870079,0.04846525937318802,0.9999062418937683,0.9788437485694885,0.999875009059906,0.6996030211448669,0.23321741819381714,0.2938646078109741,0.17252099514007568,0.953125,0.9113729596138,0.9618340134620667
9,0.1348867267370224,0.0002880416577681899,0.08587663620710373,0.04872208833694458,0.9999374747276306,0.9801250100135803,1.0,0.697547197341919,0.23321741819381714,0.29238343238830566,0.171946182847023,0.953125,0.9126536846160889,0.9618340134620667
10,0.132894366979599,0.0006412874790839851,0.08385858684778214,0.0483945831656456,0.999750018119812,0.9807812571525574,0.9999062418937683,0.6962907910346985,0.23321741819381714,0.29128432273864746,0.17178913950920105,0.953125,0.9136782884597778,0.9618340134620667
